simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,4936894;0,5015151;0,4965727;0,5013443;0,5018855;0,4966053;0,497757;0,4944152;0,4987243;0,5;33;40,508123744329694;0,03030303;0;0,03030303;0;0,0
500,0033;0,4763327;0,4820964;0,5292229;0,4838717;0,5023643;0,5012299;0,5244086;0,4675275;0,5387141;0,5;4;41,03739019459315;0,0;0;0,0;0;0,0
1000,005;0,4913905;0,4579237;0,5336732;0,4804528;0,5119727;0,4810713;0,5213107;0,4548895;0,5317694;0,5;8;39,4368534315591;0,0;0;0,0;0;0,0
1500,002;0,536342;0,5003374;0,5286484;0,5022711;0,5122856;0,5177962;0,5249243;0,4814628;0,6132746;0,5;3;44,75608653839735;0,0;0;0,0;0;0,0
2000,001;0,5637643;0,4838054;0,5474797;0,5292307;0,512817;0,4835499;0,5046517;0,4671945;0,6721047;0,5;7;47,025327144443004;0,0;0;0,0;0;0,0
2500,0;0,5670848;0,4536268;0,5464608;0,5056879;0,5279416;0,4793669;0,5350859;0,4857407;0,6856532;0,5;6;41,9798194514319;1,0;1;0,0;0;0,0
3000,0;0,5527951;0,4672507;0,579502;0,5134053;0,5419057;0,4836355;0,5161716;0,4906348;0,7059065;0,5;5;45,13534946505571;1,0;1;0,0;0;0,0
3500,005;0,5343936;0,5284796;0,5388964;0,4798154;0,5214773;0,4641335;0,5211613;0,4842085;0,6672648;0,5;6;43,41479795462198;1,0;0;0,0;0;1,0
4000,015;0,551325;0,5480105;0,5849001;0,4272347;0,5521803;0,4673601;0,5452675;0,4830577;0,6265189;0,5;4;48,662256116759934;1,0;0;0,0;0;1,0
4500,002;0,5752125;0,5380974;0,5854004;0,40249;0,5611905;0,4893923;0,5199168;0,4894741;0,6121448;0,5;5;50,05407333961803;1,0;0;0,2;0;0,8
