simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0;0,5063246;0,4990407;0,5151036;0,5141207;0,498829;0,509963;0,4991422;0,4966004;0,502154;0,5;47;0,6210166;0,06382979;0;0,04255319;0;0,0212766
500,0074;0,638277;0,3489069;0,5306906;0,6555821;0,6136526;0,4718705;0,4605692;0,3874838;0,3451114;0,5;20;1,354429;0,05;0;0,05;0;0
1000,005;0,7523197;0,3527584;0,5493119;0,6177848;0,5070109;0,4310772;0,3671883;0,4459755;0,3843436;0,5;13;2,169927;0,07692308;0;0,07692308;0;0
1500,007;0,8358126;0,3788454;0,6757829;0,7322571;0,4772468;0,4035387;0,3461882;0,5728492;0,3918489;0,5;15;1,794649;0,6;0,6;0;0;0
2000,007;0,8206829;0,4093232;0,610092;0,7492585;0,5770612;0,4125385;0,4647255;0,7008166;0,4540289;0,5;14;2,529421;1,428571;0,8571429;0,5;0,07142857;0
2500,002;0,7877697;0,436775;0,6718996;0,805328;0,6388699;0,3051389;0,3771676;0,6946219;0,4136792;0,5;9;3,716521;2;1,111111;0,3333333;0,5555556;0
3000,01;0,7635624;0,4111951;0,7422919;0,7706034;0,6496047;0,301665;0,2620427;0,6938176;0,4477176;0,5;12;2,647708;2;1;0;1;0
3500,005;0,6541208;0,4101068;0,6915833;0,6828004;0,5099831;0,2806691;0,3194385;0,6578259;0,389347;0,5;13;2,392919;2;1;0;1;0
4000,002;0,6969073;0,3668641;0,6315631;0,6505871;0,4501454;0,3568759;0,2866934;0,6228548;0,3091986;0,5;11;2,601991;2;0,9090909;0,09090909;1;0
4500,012;0,7996355;0,4135128;0,7151462;0,5467171;0,3571146;0,4187519;0,3355627;0,6372505;0,2259839;0,5;14;2,217773;2;0,7857143;0,2142857;1;0
